"id","name","party","rank","title","committee"
"L000580","Michelle Lujan Grisham","minority",1,"Ranking Member","HSAG15"
"K000382","Ann M. Kuster","minority",2,"Member","HSAG15"
"N000127","Richard M. Nolan","minority",3,"Member","HSAG15"
"D000617","Suzan K. DelBene","minority",4,"Member","HSAG15"
"K000368","Ann Kirkpatrick","minority",5,"Member","HSAG15"
"C001087","Eric A. ""Rick"" Crawford","majority",1,"Chair","HSAG16"
"L000491","Frank D. Lucas","majority",2,"Member","HSAG16"
"N000182","Randy Neugebauer","majority",3,"Member","HSAG16"
"R000575","Mike Rogers","majority",4,"Member","HSAG16"
"G000563","Bob Gibbs","majority",5,"Member","HSAG16"
"S001189","Austin Scott","majority",6,"Member","HSAG16"
"D000612","Jeff Denham","majority",7,"Member","HSAG16"
"L000578","Doug LaMalfa","majority",8,"Member","HSAG16"
"W000813","Jackie Walorski","majority",9,"Member","HSAG16"
"A000372","Rick W. Allen","majority",10,"Member","HSAG16"
"B001295","Mike Bost","majority",11,"Member","HSAG16"
"A000374","Ralph Lee Abraham","majority",12,"Member","HSAG16"
"W000799","Timothy J. Walz","minority",1,"Ranking Member","HSAG16"
"B001286","Cheri Bustos","minority",2,"Member","HSAG16"
"G000575","Gwen Graham","minority",3,"Member","HSAG16"
"A000373","Brad Ashford","minority",4,"Member","HSAG16"
"S001157","David Scott","minority",5,"Member","HSAG16"
"C001059","Jim Costa","minority",6,"Member","HSAG16"
"M001185","Sean Patrick Maloney","minority",7,"Member","HSAG16"
"K000368","Ann Kirkpatrick","minority",8,"Member","HSAG16"
"S001189","Austin Scott","majority",1,"Chair","HSAG22"
"G000289","Bob Goodlatte","majority",2,"Member","HSAG22"
"L000491","Frank D. Lucas","majority",3,"Member","HSAG22"
"N000182","Randy Neugebauer","majority",4,"Member","HSAG22"
"R000575","Mike Rogers","majority",5,"Member","HSAG22"
"L000578","Doug LaMalfa","majority",6,"Member","HSAG22"
"D000619","Rodney Davis","majority",7,"Member","HSAG22"
"K000388","Trent Kelly","majority",8,"Member","HSAG22"
"S001157","David Scott","minority",1,"Ranking Member","HSAG22"
"V000132","Filemon Vela","minority",2,"Member","HSAG22"
"M001185","Sean Patrick Maloney","minority",3,"Member","HSAG22"
"K000368","Ann Kirkpatrick","minority",4,"Member","HSAG22"
"A000371","Pete Aguilar","minority",5,"Member","HSAG22"
"R000603","David Rouzer","majority",1,"Chair","HSAG29"
"G000289","Bob Goodlatte","majority",2,"Member","HSAG29"
"K000362","Steve King","majority",3,"Member","HSAG29"
"D000616","Scott DesJarlais","majority",4,"Member","HSAG29"
"H001053","Vicky Hartzler","majority",5,"Member","HSAG29"
"Y000065","Ted S. Yoho","majority",6,"Member","HSAG29"
"N000189","Dan Newhouse","majority",7,"Member","HSAG29"
"K000388","Trent Kelly","majority",8,"Member","HSAG29"
"C001059","Jim Costa","minority",1,"Ranking Member","HSAG29"
"P000610","Stacey E. Plaskett","minority",2,"Member","HSAG29"
"V000132","Filemon Vela","minority",3,"Member","HSAG29"
"N000127","Richard M. Nolan","minority",4,"Member","HSAG29"
"B001286","Cheri Bustos","minority",5,"Member","HSAG29"
"R000395","Harold Rogers","majority",1,"Chair","HSAP"
"F000372","Rodney P. Frelinghuysen","majority",2,"Member","HSAP"
"A000055","Robert B. Aderholt","majority",3,"Member","HSAP"
"G000377","Kay Granger","majority",4,"Member","HSAP"
"S001148","Michael K. Simpson","majority",5,"Member","HSAP"
"C001048","John Abney Culberson","majority",6,"Member","HSAP"
"C001045","Ander Crenshaw","majority",7,"Member","HSAP"
